<strong><< OPTIMIZATION START >></strong>

                                            First-order      Norm of
 Iter F-count            f(x)  Feasibility   optimality         step
  256    1851    1.569448e-04    0.000e+00    5.361e+00    3.954e-04
  257    1868    1.571413e-04    0.000e+00    3.545e-01    1.423e-06
  258    1878    1.570516e-04    0.000e+00    5.785e-02    7.679e-07
  259    1885    1.568007e-04    0.000e+00    1.017e+00    6.262e-06
  260    1891    1.560967e-04    0.000e+00    1.080e+00    8.510e-05
  261    1907    1.560905e-04    0.000e+00    7.422e-01    1.377e-08
  262    1914    1.560918e-04    0.000e+00    7.422e-01    3.335e-08
  263    1929    1.560914e-04    0.000e+00    7.422e-01    1.787e-09
  264    1936    1.560913e-04    0.000e+00    7.422e-01    2.061e-09
  265    1949    1.560912e-04    0.000e+00    7.422e-01    4.468e-10
  266    1956    1.560912e-04    0.000e+00    7.422e-01    5.188e-10
  267    1969    1.560912e-04    0.000e+00    7.422e-01    1.117e-10
  268    1976    1.560912e-04    0.000e+00    7.422e-01    1.297e-10
  269    1988    1.560911e-04    0.000e+00    7.422e-01    5.585e-11

<a href = "matlab: helpview('optim','feasible_better_objective','CSHelpWindow');">Feasible point with lower objective function value found</a>.


Optimization stopped because the <a href = "matlab: helpview('optim','norm_curr_step_fminconip','CSHelpWindow');">relative changes in all elements of x</a> are
less than <a href = "matlab: helpview('optim','tolx','CSHelpWindow');">options.StepTolerance</a> = 1.000000e-10, and the relative maximum constraint
violation, 0.000000e+00, is less than <a href = "matlab: helpview('optim','tol_con','CSHelpWindow');">options.ConstraintTolerance</a> = 1.000000e-06.

<strong><< OPTIMIZATION COMPLETE >></strong>

Optimization Processing Time:
Total                = 30.3909 seconds
Avg. per Iteration   = 0.1126 seconds
Avg. per Func. Eval. = 0.0153 seconds

<strong>> Table 1 - States</strong>
                          <strong>Value</strong>   
                        <strong>__________</strong>

    <strong>1) xe    [m]    </strong>        0.0000
    <strong>2) ye    [m]    </strong>        0.0000
    <strong>3) ze    [m]    </strong>    -1219.0000
